time,fuel_price,electric_price
2015 S2,109.7666667,21.83
2016 S1,102.5,19.51
2017 S1,120.6166667,17.66
2017 S2,120.1666667,18.56
2018 S1,126.4666667,18.39
2018 S2,134,20.24
2019 S1,131.5833333,21.22
2019 S2,131.2833333,22.1
2020 S1,121.8666667,22.03
